full_fip,year,jurisid,basename,state_name,region,juristype,total_population,resp_1994,enterord_1994,codedate_1994,survey1,survey2_1994,survey3_1994,Jurisdiction,aftjur,title_1994,titlcode_1994,respdate_1994,plan_1994,zoneord_1994,maxdens_1994,maxchg_1994,maxland_1994,othhdlnd_1994,tothdlnd_1994,undevlnd_1994,rzvote_1994,surrjur_1994,anxvote_1994,anxvtyr_1994,anxpol_1994,ugb_1994,ugbyear_1994,pacecont_1994,pctcont_1994,pctcnyr_1994,bpcont_1994,bpcntyr_1994,morat_1994,moratst_1994,moratend_1994,moratind_1994,moratst_A_1994,moratend_A_1994,pmorind_1994,pmorst_1994,pmorend_1994,pmorsm_1994,pmorlg_1994,capst_1994,capend_1994,pmorst_A_1994,pmorend_A_1994,othpvtah_1994,nonproft,hsgauth_1994,purchase_1994,othr1_1994,othr2_1994,county_1994,pastgc_1994,apfo_1994,apfsch_1994,apftrans_1994,apfps_1994,apfwater_1994,apfpark_1994,apfoth_1994,pvtah_1994,densbon_1994,inclpct_1994,inlieu_1994,fasttrak,feewaiv_1994,gcahexmp_1994,apfo_flag,iz_1994,popbin,jurisbin
"1703129938",1994,"1729938","Glenview","IL","Midwest","village",37093,1,46,15 Apr 94,410,,,"Glenview","","",1,06 Apr 94,1,1,3,1,,".s",".s","1200",0,2,0,.s,3,0,.n,0,.n,.n,.n,.n,0,".n",".n",,.n,.n,,.n,.n,,,.n,.n,.n,.n,".n",.s,.s,.s,".s","",0,0,2,1,.n,.n,.n,1,.n,0,.n,.n,.n,.n,,,1,0,2,1
"1703133695",1994,"1733695","Hazel Crest","IL","Midwest","village",13334,1,321,03 May 94,1167,,,"Hazel Crest","","",7,07 Apr 94,1,1,2,2,,".s",".s","40",0,1,.s,.n,.n,.s,.s,.s,.s,.s,.s,.s,.s,".n",".n",,.s,.s,,.n,.n,,,.s,.s,.s,.s,".n",.s,.s,.s,".s","",0,,2,1,1,1,1,1,.n,0,.n,.n,.n,.n,,,1,0,1,1
"1703134514",1994,"1734514","Hickory Hills","IL","Midwest","city",13021,1,976,23 May 94,412,1744,,"Hickory Hills","","",9,02 May 94,1,1,3,1,18,"18","36","18",0,1,.s,.n,.n,0,.n,0,.n,.n,.n,.n,0,".n",".n",,.n,.n,,.n,.n,,,.n,.n,.n,.n,".n",.s,.s,.s,".s","",0,0,1,.n,.n,.n,.n,.n,.n,0,.n,.n,.n,.n,,,1,0,1,1
"1703135411",1994,"1735411","Hoffman Estates","IL","Midwest","village",46561,1,651,14 May 94,413,,,"Hoffman Estates","","",2,17 Apr 94,1,1,3,1,0,"0","0","2500",0,2,0,.s,2,0,.n,0,.n,.n,.n,.n,0,".n",".n",,.n,.n,,.n,.n,,,.n,.n,.n,.n,".n",.s,.s,.s,".s","",0,2,2,1,.n,.n,1,1,.n,0,.n,.n,.n,.n,,,1,0,2,1
"1703135879",1994,"1735879","Homewood","IL","Midwest","village",19278,1,401,06 May 94,414,,,"Homewood","","",1,07 Apr 94,1,1,1,1,5,"170","170","200",0,2,0,.s,1,0,.n,0,.n,.n,.n,.n,0,".n",".n",,.n,.n,,.n,.n,,,.n,.n,.n,.n,".n",.s,.s,.s,".s","",0,0,2,.s,.s,.s,.s,.s,.s,0,.n,.n,.n,.n,,,1,0,1,1
"1703138830",1994,"1738830","Justice","IL","Midwest","village",11137,1,1080,11 Jun 94,415,1745,,"Justice","","",9,06 May 94,0,1,2,1,,".s",".s","80",0,2,0,.s,4,0,.n,0,.n,.n,.n,.n,0,".n",".n",,.n,.n,,.n,.n,,,.n,.n,.n,.n,".n",.s,.s,.s,".s","",0,0,0,.n,.n,.n,.n,.n,.n,0,.n,.n,.n,.n,,,0,0,1,1
"1703140767",1994,"1740767","La Grange","IL","Midwest","village",15362,1,120,24 Apr 94,1168,,,"La Grange Park","","",6,07 Apr 94,1,1,3,1,0,"15","15","15",0,1,.s,.n,.n,0,.n,0,.n,.n,.n,.n,0,".n",".n",,.n,.n,,.n,.n,,,.n,.n,.n,.n,".n",.s,.s,.s,".s","",0,0,0,.n,.n,.n,.n,.n,.n,0,.n,.n,.n,.n,,,0,0,1,1
"1703140793",1994,"1740793","La Grange Park","IL","Midwest","village",12861,1,47,15 Apr 94,416,,,"La Grange","","",5,07 Apr 94,1,1,4,1,0,"1","1","1",0,2,0,.s,4,0,.n,0,.n,.n,.n,.n,0,".n",".n",,.n,.n,,.n,.n,,,.n,.n,.n,.n,".s",.n,.n,.n,".n","",0,0,1,.n,.n,.n,.n,.n,.n,1,,.n,,.s,1,,1,.s,1,1
"1703142028",1994,"1742028","Lansing","IL","Midwest","village",28086,1,133,24 Apr 94,1383,,,"Lansing","","",1,07 Apr 94,1,1,2,1,0,"0","0","500",0,3,0,.s,.s,0,.n,0,.n,.n,.n,.n,0,".n",".n",,.n,.n,,.n,.n,,,.n,.n,.n,.n,".n",.s,.s,.s,".s","",0,0,2,.n,.n,.n,1,.n,.n,0,.n,.n,.n,.n,,,1,0,2,1
"1703147540",1994,"1747540","Matteson","IL","Midwest","village",11378,1,614,13 May 94,1170,,,"Matteson","","",2,13 Apr 94,1,1,2,1,70,"540","610","1400",0,2,0,.s,4,0,.n,0,.n,.n,.n,.n,0,".n",".n",,.n,.n,,.n,.n,,,.n,.n,.n,.n,".n",.s,.s,.s,".s","",0,2,0,.n,.n,.n,.n,.n,.n,0,.n,.n,.n,.n,,,0,0,1,1
